ClusterID,StudentID,CourseID,mean_cluster_grade,count
0,239,12E050SCIENCES,5.0,82
0,242,T207002,5.0,233
0,242,T207038,5.0,225
0,242,T207004,5.0,194
0,242,T207036,5.0,190
0,242,T206060,5.0,184
0,242,T207034,5.0,178
0,242,T207059,5.0,92
0,242,12E051SCIENCES,5.0,82
0,242,12E050SCIENCES,5.0,82
0,242,J2D035,5.0,81
0,246,T207002,5.0,233
0,246,T207038,5.0,225
0,246,T207004,5.0,194
0,246,T207036,5.0,190
0,246,T206060,5.0,184
0,246,T207034,5.0,178
0,246,T207059,5.0,92
0,246,12E051SCIENCES,5.0,82
0,246,12E050SCIENCES,5.0,82
0,246,J2D035,5.0,81
0,251,T207035,5.0,214
0,251,T207004,5.0,194
0,251,T207036,5.0,190
0,251,T206060,5.0,184
0,251,T207034,5.0,178
0,251,T207059,5.0,92
0,251,12E051SCIENCES,5.0,82
0,251,12E050SCIENCES,5.0,82
0,251,J2D035,5.0,81
0,251,J2P201,5.0,76
0,255,T207035,5.0,214
0,255,T207004,5.0,194
0,255,T207036,5.0,190
0,255,T206060,5.0,184
0,255,T207034,5.0,178
0,255,T207059,5.0,92
0,255,12E051SCIENCES,5.0,82
0,255,12E050SCIENCES,5.0,82
0,255,J2D035,5.0,81
0,255,J2P201,5.0,76
0,271,T207002,5.0,233
0,271,T207038,5.0,225
0,271,T207037,5.0,207
0,271,T207004,5.0,194
0,271,T207036,5.0,190
0,271,T206060,5.0,184
0,271,T207034,5.0,178
0,271,T207059,5.0,92
0,271,12E051SCIENCES,5.0,82
0,271,12E050SCIENCES,5.0,82
0,280,T207037,5.0,207
0,280,T207004,5.0,194
0,280,T207036,5.0,190
0,280,T206060,5.0,184
0,280,T207034,5.0,178
0,280,T207059,5.0,92
0,280,12E051SCIENCES,5.0,82
0,280,12E050SCIENCES,5.0,82
0,280,J2D035,5.0,81
0,280,J2P201,5.0,76
0,291,T207002,5.0,233
0,291,T207012,5.0,233
0,291,T207035,5.0,214
0,291,T207004,5.0,194
0,291,T207036,5.0,190
0,291,T206060,5.0,184
0,291,T207034,5.0,178
0,291,T207059,5.0,92
0,291,12E051SCIENCES,5.0,82
0,291,12E050SCIENCES,5.0,82
0,294,T207035,5.0,214
0,294,T207004,5.0,194
0,294,T207036,5.0,190
0,294,T206060,5.0,184
0,294,T207034,5.0,178
0,294,T207059,5.0,92
0,294,12E051SCIENCES,5.0,82
0,294,12E050SCIENCES,5.0,82
0,294,J2D035,5.0,81
0,294,J2P201,5.0,76
0,296,T207012,5.0,233
0,296,T207004,5.0,194
0,296,T207036,5.0,190
0,296,T206060,5.0,184
0,296,T207034,5.0,178
0,296,T207059,5.0,92
0,296,12E051SCIENCES,5.0,82
0,296,12E050SCIENCES,5.0,82
0,296,J2D035,5.0,81
0,296,J2P201,5.0,76
0,299,T207002,5.0,233
0,299,T207038,5.0,225
0,299,T207004,5.0,194
0,299,T207036,5.0,190
0,299,T206060,5.0,184
0,299,T207034,5.0,178
0,299,T207059,5.0,92
0,299,12E051SCIENCES,5.0,82
0,299,12E050SCIENCES,5.0,82
0,299,J2D035,5.0,81
1,308,7422A5,5.0,243
1,308,7417I,5.0,243
1,308,7422A8,5.0,243
1,308,7422A7,5.0,243
1,308,742060,5.0,206
1,308,742840,5.0,205
1,308,742067,5.0,205
1,308,742270,5.0,197
1,308,742851,5.0,192
1,308,742331,5.0,183
1,313,7417I,5.0,243
1,313,7422A8,5.0,243
1,313,7422A7,5.0,243
1,313,7422A5,5.0,243
1,313,742066,5.0,211
1,313,742261,5.0,206
1,313,742840,5.0,205
1,313,742214,5.0,196
1,313,742851,5.0,192
1,313,742337,5.0,186
1,331,7417I,5.0,243
1,331,7422A8,5.0,243
1,331,7422A7,5.0,243
1,331,7422A5,5.0,243
1,331,742060,5.0,206
1,331,742067,5.0,205
1,331,742270,5.0,197
1,331,742262,5.0,197
1,331,742272,5.0,183
1,331,742206,5.0,183
1,333,7422A5,5.0,243
1,333,7417I,5.0,243
