CourseID,StudentID,Grades
742870,593,4.25
742382,593,5.5
7422A5,593,5.0
7422A8,593,5.25
7422A7,593,5.75
7417I,593,4.75
7422AH,593,5.5
742450,593,5.0
742481,593,5.25
742518,593,4.5
742452,593,5.0
742004,418,4.25
742001,418,5.25
742007,418,5.25
742002,418,4.25
742064,418,5.0
7420601,418,4.0
742062,418,5.5
742066,418,5.0
742066,418,4.75
7420AF,418,5.75
742120,418,4.5
742206,418,5.5
742205,418,5.0
742327,418,5.25
742208,418,4.5
742215,418,6.0
742211,418,4.0
742840,418,5.0
742871,418,5.0
742271,418,5.25
742270,418,4.75
742272,418,4.75
742261,418,4.5
742342,418,5.0
742329,418,5.25
742338,418,6.0
742344,418,5.0
742331,418,4.75
742337,418,4.0
742389,418,4.5
74110,418,5.25
742380,418,4.75
74146,418,5.0
742397,418,5.0
742861,418,5.5
7422A5,418,5.5
7422A8,418,5.5
7422A7,418,4.75
7417I,418,5.25
7422AU,418,5.0
742452,418,4.75
742514,418,5.25
742518,418,5.0
742516,418,5.0
742003,498,5.0
742006,498,4.75
742002,498,5.0
742001,498,5.5
742067,498,4.5
742062,498,4.75
742060,498,4.0
742064,498,5.0
7420601,498,4.75
7421AB,498,4.75
742121,498,5.5
742209,498,5.25
742211,498,4.75
742208,498,5.5
742215,498,4.75
742327,498,5.5
742214,498,4.75
742841,498,5.5
742272,498,5.0
742851,498,5.75
742270,498,5.0
742271,498,4.5
742261,498,4.5
742340,498,5.0
742343,498,4.5
742331,498,4.5
742338,498,5.75
742336,498,5.25
742344,498,5.0
742385,498,5.0
74110,498,5.25
742380,498,5.0
742383,498,4.75
74146,498,5.0
742396,498,4.75
7422A5,498,5.5
7422A8,498,5.25
7422A7,498,5.75
7417I,498,5.25
7422AH,498,5.25
742452,498,5.25
742514,498,4.75
742517,498,4.5
742450,498,5.25
742111,528,5.5
742001,528,5.0
742003,528,6.0
742006,528,4.75
742067,528,6.0
742066,528,4.5
7420601,528,5.25
742062,528,4.75
71133,528,5.0
7421AE,528,5.0
742121,528,5.0
742215,528,4.25
742214,528,4.75
J2M292,528,4.75
742205,528,4.75
742208,528,5.5
742209,528,5.25
742841,528,4.0
742851,528,5.5
742262,528,4.75
742261,528,4.75
742271,528,4.75
742270,528,5.0
742329,528,4.75
742331,528,5.25
742337,528,5.0
742334,528,5.25
742343,528,5.25
742338,528,5.25
742380,528,5.25
742861,528,4.75
74146,528,4.75
742396,528,5.25
742382,528,4.5
742383,528,5.5
7422A5,528,5.5
7422A8,528,4.5
7422A7,528,4.25
7417I,528,5.75
7422AA,528,4.75
742450,528,4.5
742483,528,5.0
742516,528,4.75
742452,528,5.0
742006,494,5.25
742002,494,5.0
742001,494,5.5
742111,494,5.0
7420601,494,4.75
742064,494,4.5
742067,494,5.25
742062,494,4.25
742060,494,5.5
7421AC,494,5.5
742121,494,5.0
742215,494,5.25
742208,494,4.5
742205,494,4.75
742206,494,5.0
742214,494,5.75
742327,494,4.75
742271,494,4.75
742851,494,4.5
742261,494,5.0
742840,494,4.25
742270,494,5.0
742262,494,4.75
742338,494,4.5
742343,494,5.0
742336,494,5.5
742337,494,4.5
742329,494,4.75
742334,494,5.75
742386,494,5.0
742382,494,5.0
742870,494,4.5
752254,494,4.25
742861,494,5.5
742383,494,4.5
7422A5,494,4.75
7422A8,494,5.25
7422A7,494,4.75
7417I,494,5.0
7422AV,494,4.0
742452,494,4.75
742514,494,4.25
742515,494,5.0
742481,494,5.25
742004,376,5.5
742003,376,5.25
742007,376,5.25
742006,376,5.0
742064,376,5.75
742060,376,5.5
7420601,376,5.5
742067,376,5.25
71133,376,4.25
7421AD,376,5.0
742121,376,5.0
742208,376,5.75
J2M292,376,5.75
742209,376,5.25
742205,376,4.5
742214,376,5.5
742215,376,5.25
742871,376,4.75
742840,376,4.5
742262,376,4.75
742841,376,5.75
742271,376,5.0
742270,376,5.0
742336,376,5.25
742338,376,5.0
742329,376,4.75
742340,376,4.5
742334,376,4.5
742342,376,4.5
742382,376,5.0
742386,376,5.5
74146,376,5.25
74110,376,5.25
742380,376,4.5
742383,376,5.25
7422A5,376,5.5
7422A8,376,4.75
7422A7,376,5.0
7417I,376,4.25
7422AU,376,5.25
742450,376,6.0
742481,376,5.25
742517,376,4.5
742518,376,5.25
742003,304,4.75
742001,304,5.5
742111,304,5.75
742000,304,5.25
7420601,304,4.75
742064,304,4.75
742067,304,5.5
742066,304,5.0
742066,304,5.5
7420AB,304,5.5
742120,304,5.0
742211,304,5.25
J2M292,304,5.5
742206,304,5.25
7414H,304,5.25
742209,304,4.75
742327,304,4.75
742272,304,5.75
742261,304,5.5
742841,304,4.5
742262,304,5.5
742851,304,5.0
742270,304,5.0
742342,304,5.5
742334,304,4.75
742343,304,5.0
742331,304,5.5
742329,304,4.75
742336,304,5.0
742385,304,5.0
742383,304,5.5
742382,304,5.0
742386,304,4.75
74110,304,5.25
74146,304,6.0
7422A5,304,5.5
7422A8,304,5.5
7422A7,304,5.25
7417I,304,5.0
7422AT,304,5.5
742450,304,5.0
742481,304,5.0
742516,304,5.75
742452,304,5.25
742007,334,5.5
742002,334,4.75
742003,334,5.0
742001,334,4.75
7420601,334,5.25
742066,334,5.0
742064,334,4.25
742060,334,4.75
742007,334,5.0
7421AE,334,5.0
742121,334,4.75
742206,334,4.75
742209,334,5.25
742327,334,4.25
J2M292,334,5.0
742215,334,5.0
742214,334,5.0
742840,334,4.75
742271,334,5.75
742841,334,5.25
742851,334,5.0
742270,334,5.25
742272,334,6.0
742340,334,4.75
742343,334,5.25
742331,334,5.25
742344,334,4.75
742337,334,4.75
742329,334,4.25
742383,334,5.5
742397,334,5.25
742396,334,5.0
742385,334,5.25
742380,334,5.0
742386,334,4.75
7422A5,334,5.25
7422A8,334,5.75
7422A7,334,5.25
7417I,334,5.5
7422AR,334,5.5
742450,334,5.25
742514,334,5.5
742518,334,5.25
742517,334,5.5
742003,410,5.25
742004,410,5.25
742007,410,4.0
742111,410,4.75
742064,410,4.25
742060,410,4.75
742062,410,4.5
742066,410,5.25
71133,410,5.0
7420AB,410,5.5
742120,410,5.0
7414H,410,5.0
742205,410,5.5
742211,410,5.5
742215,410,5.5
742214,410,5.5
J2M292,410,4.5
742270,410,5.5
742262,410,5.5
742272,410,4.25
742840,410,6.0
742261,410,4.75
742871,410,4.75
742334,410,5.0
742342,410,4.0
742337,410,6.0
742329,410,5.5
742340,410,5.25
